date,time,country,level,summary,dateYear,dateMonth,dateDay,miltime,dateAdded
Friday January 06 2023,01:30 PM,US,3.0,Non Farm Payrolls DEC,2023.0,1.0,6.0,13:30,2023-11-22 11:37:47
Friday January 06 2023,01:30 PM,US,3.0,Unemployment Rate DEC,2023.0,1.0,6.0,13:30,2023-11-22 11:37:47
Friday January 06 2023,01:30 PM,US,2.0,Average Hourly Earnings MoM DEC,2023.0,1.0,6.0,13:30,2023-11-22 11:37:47
Friday January 06 2023,01:30 PM,US,2.0,Average Hourly Earnings YoY DEC,2023.0,1.0,6.0,13:30,2023-11-22 11:37:47
Friday January 06 2023,01:30 PM,US,2.0,Participation Rate DEC,2023.0,1.0,6.0,13:30,2023-11-22 11:37:47
Friday January 06 2023,01:30 PM,US,1.0,Manufacturing Payrolls DEC,2023.0,1.0,6.0,13:30,2023-11-22 11:37:47
Friday January 06 2023,01:30 PM,US,1.0,Average Weekly Hours DEC,2023.0,1.0,6.0,13:30,2023-11-22 11:37:47
Friday January 06 2023,01:30 PM,US,1.0,Government Payrolls DEC,2023.0,1.0,6.0,13:30,2023-11-22 11:37:47
Friday January 06 2023,01:30 PM,US,1.0,Nonfarm Payrolls Private DEC,2023.0,1.0,6.0,13:30,2023-11-22 11:37:47
Friday January 06 2023,03:00 PM,US,3.0,ISM Non-Manufacturing PMI DEC,2023.0,1.0,6.0,15:00,2023-11-22 11:37:47
Friday January 06 2023,03:00 PM,US,2.0,ISM Non-Manufacturing Employment DEC,2023.0,1.0,6.0,15:00,2023-11-22 11:37:47
Friday January 06 2023,03:00 PM,US,2.0,Factory Orders MoM NOV,2023.0,1.0,6.0,15:00,2023-11-22 11:37:47
Friday January 06 2023,03:00 PM,US,1.0,Factory Orders ex Transportation NOV,2023.0,1.0,6.0,15:00,2023-11-22 11:37:47
Friday January 06 2023,03:00 PM,US,1.0,ISM Non-Manufacturing Business Activity DEC,2023.0,1.0,6.0,15:00,2023-11-22 11:37:47
Friday January 06 2023,03:00 PM,US,1.0,ISM Non-Manufacturing New Orders DEC,2023.0,1.0,6.0,15:00,2023-11-22 11:37:47
Friday January 06 2023,03:00 PM,US,1.0,ISM Non-Manufacturing Prices DEC,2023.0,1.0,6.0,15:00,2023-11-22 11:37:47
Friday January 06 2023,04:15 PM,US,2.0,Fed Cook Speech,2023.0,1.0,6.0,16:15,2023-11-22 11:37:47
Friday January 06 2023,04:15 PM,US,2.0,Fed Bostic Speech,2023.0,1.0,6.0,16:15,2023-11-22 11:37:47
Friday January 06 2023,05:15 PM,US,2.0,Fed Barkin Speech,2023.0,1.0,6.0,17:15,2023-11-22 11:37:47
Friday January 06 2023,06:00 PM,US,1.0,Baker Hughes Oil Rig Count JAN/06,2023.0,1.0,6.0,18:00,2023-11-22 11:37:47
Friday January 06 2023,06:00 PM,US,1.0,Baker Hughes Total Rig Count JAN/06,2023.0,1.0,6.0,18:00,2023-11-22 11:37:47
Friday January 06 2023,08:30 PM,US,2.0,Fed Bostic Speech,2023.0,1.0,6.0,20:30,2023-11-22 11:37:47
